Customer_ID,Age,Membership_Level,Total_Spend,Items_Purchased,Review_Rating
1001,35,Silver,74.42,5,1.0
1002,24,Bronze,1184.22,18,3.0
1003,52,Bronze,371.85,28,4.0
1004,45,Gold,895.67,10,5.0
1005,22,Silver,212.87,29,5.0
1006,22,Bronze,1149.40,22,3.0
1007,,Bronze,266.49,21,5.0
1008,61,Silver,25.45,6,5.0
1009,45,Bronze,1198.95,1,4.0
1010,52,Bronze,67.86,5,5.0
1011,,Silver,212.33,9,
1012,24,Silver,1518.49,12,4.0
1013,61,Silver,1523.97,26,4.0
1014,28,Bronze,446.00,14,5.0
1015,22,Gold,4500.00,2,5.0
1016,35,Diamond,320.10,15,4.0
1017,28,Bronze,89.99,3,2.0
1018,,Silver,412.50,11,4.0
1019,45,Gold,5200.50,19,5.0
1020,31,Bronze,145.20,7,3.0
